timestamp,open,high,low,close,volume
2024-10-02 00:00:00.000000000,2681.4,2681.5,2680.5,2680.8,79
2024-10-02 00:01:00.000000000,2681.0,2681.1,2680.6,2680.6,34
2024-10-02 00:02:00.000000000,2680.6,2680.6,2680.0,2680.5,56
2024-10-02 00:03:00.000000000,2680.5,2680.7,2680.2,2680.6,39
2024-10-02 00:04:00.000000000,2680.6,2681.2,2680.4,2680.9,41
2024-10-02 00:05:00.000000000,2681.0,2681.1,2680.1,2680.1,31
2024-10-02 00:06:00.000000000,2680.1,2680.2,2679.3,2679.9,54
2024-10-02 00:07:00.000000000,2680.1,2680.5,2679.9,2680.0,51
2024-10-02 00:08:00.000000000,2680.1,2680.8,2680.1,2680.7,24
2024-10-02 00:09:00.000000000,2680.7,2680.7,2680.2,2680.3,15
2024-10-02 00:10:00.000000000,2680.1,2680.2,2680.0,2680.0,11
2024-10-02 00:11:00.000000000,2680.1,2680.2,2679.6,2679.6,26
2024-10-02 00:12:00.000000000,2679.8,2679.8,2679.7,2679.8,38
2024-10-02 00:13:00.000000000,2679.6,2680.0,2679.6,2679.7,12
2024-10-02 00:14:00.000000000,2679.6,2679.7,2679.1,2679.1,17
2024-10-02 00:15:00.000000000,2679.2,2679.8,2679.2,2679.4,37
2024-10-02 00:16:00.000000000,2679.6,2679.9,2679.4,2679.4,11
2024-10-02 00:17:00.000000000,2679.4,2680.2,2679.4,2679.9,43
2024-10-02 00:18:00.000000000,2679.9,2680.3,2679.7,2680.2,16
2024-10-02 00:19:00.000000000,2680.2,2680.3,2680.0,2680.0,9
2024-10-02 00:20:00.000000000,2680.1,2680.1,2679.9,2679.9,10
2024-10-02 00:21:00.000000000,2680.0,2680.1,2679.8,2679.9,23
2024-10-02 00:22:00.000000000,2679.9,2680.2,2679.9,2680.2,29
2024-10-02 00:23:00.000000000,2680.2,2680.2,2680.1,2680.2,19
2024-10-02 00:24:00.000000000,2680.2,2680.2,2680.1,2680.1,5
2024-10-02 00:25:00.000000000,2680.3,2680.7,2680.3,2680.4,25
2024-10-02 00:26:00.000000000,2680.4,2680.5,2680.3,2680.3,8
2024-10-02 00:27:00.000000000,2680.3,2680.4,2680.2,2680.4,12
2024-10-02 00:28:00.000000000,2680.5,2680.8,2680.5,2680.8,12
2024-10-02 00:29:00.000000000,2680.7,2681.1,2680.7,2681.1,23
2024-10-02 00:30:00.000000000,2681.1,2681.2,2680.5,2680.5,73
2024-10-02 00:31:00.000000000,2680.7,2680.7,2680.1,2680.2,11
2024-10-02 00:32:00.000000000,2680.2,2680.2,2679.4,2679.7,44
2024-10-02 00:33:00.000000000,2679.6,2680.0,2679.5,2679.7,20
2024-10-02 00:34:00.000000000,2679.7,2680.0,2679.7,2680.0,3
2024-10-02 00:35:00.000000000,2679.9,2680.0,2679.1,2679.3,27
2024-10-02 00:36:00.000000000,2679.2,2679.5,2679.2,2679.3,27
2024-10-02 00:37:00.000000000,2679.3,2679.8,2679.2,2679.8,30
2024-10-02 00:38:00.000000000,2679.7,2679.9,2679.6,2679.8,19
2024-10-02 00:39:00.000000000,2679.8,2679.8,2679.5,2679.5,25
2024-10-02 00:40:00.000000000,2679.8,2679.8,2679.1,2679.1,17
2024-10-02 00:41:00.000000000,2679.0,2679.4,2679.0,2679.4,37
2024-10-02 00:42:00.000000000,2679.3,2679.3,2679.0,2679.3,21
2024-10-02 00:43:00.000000000,2679.4,2679.6,2679.2,2679.5,29
2024-10-02 00:44:00.000000000,2679.7,2679.7,2679.1,2679.2,24
2024-10-02 00:45:00.000000000,2679.4,2679.6,2679.4,2679.5,12
2024-10-02 00:46:00.000000000,2679.6,2679.6,2679.4,2679.4,9
2024-10-02 00:47:00.000000000,2679.3,2679.3,2678.8,2679.0,58
2024-10-02 00:48:00.000000000,2678.8,2679.0,2678.8,2678.9,18
2024-10-02 00:49:00.000000000,2678.9,2679.0,2678.9,2679.0,9
2024-10-02 00:50:00.000000000,2679.0,2679.2,2679.0,2679.0,26
2024-10-02 00:51:00.000000000,2678.8,2678.8,2678.3,2678.6,68
2024-10-02 00:52:00.000000000,2678.5,2678.8,2678.5,2678.7,22
2024-10-02 00:53:00.000000000,2678.7,2678.7,2678.5,2678.6,14
2024-10-02 00:54:00.000000000,2678.6,2678.9,2678.6,2678.8,16
2024-10-02 00:55:00.000000000,2678.9,2679.0,2678.8,2678.8,17
2024-10-02 00:56:00.000000000,2678.9,2678.9,2678.1,2678.1,38
2024-10-02 00:57:00.000000000,2678.1,2678.4,2678.1,2678.2,72
2024-10-02 00:58:00.000000000,2678.3,2678.5,2678.1,2678.3,30
2024-10-02 00:59:00.000000000,2678.2,2678.7,2678.1,2678.6,37
2024-10-02 01:00:00.000000000,2678.6,2678.9,2678.4,2678.9,23
2024-10-02 01:01:00.000000000,2679.0,2679.0,2678.3,2678.4,33
2024-10-02 01:02:00.000000000,2678.4,2679.1,2678.4,2678.9,13
2024-10-02 01:03:00.000000000,2679.0,2679.5,2679.0,2679.3,77
2024-10-02 01:04:00.000000000,2679.3,2679.4,2678.9,2679.0,41
2024-10-02 01:05:00.000000000,2678.7,2679.0,2678.7,2678.9,13
2024-10-02 01:06:00.000000000,2678.8,2679.1,2678.6,2678.7,31
2024-10-02 01:07:00.000000000,2678.8,2679.1,2678.7,2678.9,18
2024-10-02 01:08:00.000000000,2679.2,2679.5,2679.2,2679.3,22
2024-10-02 01:09:00.000000000,2679.3,2679.8,2679.2,2679.2,62
2024-10-02 01:10:00.000000000,2679.1,2679.3,2678.8,2678.9,23
2024-10-02 01:11:00.000000000,2678.9,2678.9,2678.3,2678.6,39
2024-10-02 01:12:00.000000000,2678.6,2679.0,2678.6,2679.0,13
2024-10-02 01:13:00.000000000,2679.1,2679.3,2679.0,2679.2,19
2024-10-02 01:14:00.000000000,2679.0,2679.1,2678.4,2678.4,20
2024-10-02 01:15:00.000000000,2678.4,2678.8,2677.2,2678.7,291
2024-10-02 01:16:00.000000000,2678.7,2679.2,2678.6,2679.1,64
2024-10-02 01:17:00.000000000,2679.1,2679.8,2679.0,2679.8,64
2024-10-02 01:18:00.000000000,2679.9,2680.1,2679.5,2679.6,132
2024-10-02 01:19:00.000000000,2679.5,2680.0,2679.0,2679.8,62
2024-10-02 01:20:00.000000000,2679.9,2680.5,2679.8,2680.4,94
2024-10-02 01:21:00.000000000,2680.6,2680.8,2679.9,2680.1,72
2024-10-02 01:22:00.000000000,2680.2,2680.4,2680.0,2680.3,42
2024-10-02 01:23:00.000000000,2680.3,2680.4,2679.9,2680.1,29
2024-10-02 01:24:00.000000000,2680.1,2680.4,2679.8,2679.8,57
2024-10-02 01:25:00.000000000,2679.8,2680.3,2679.8,2680.3,14
2024-10-02 01:26:00.000000000,2680.3,2681.0,2680.2,2680.9,38
2024-10-02 01:27:00.000000000,2681.0,2681.0,2680.4,2680.7,23
2024-10-02 01:28:00.000000000,2680.4,2680.7,2680.3,2680.3,22
2024-10-02 01:29:00.000000000,2680.3,2680.5,2680.3,2680.5,25
2024-10-02 01:30:00.000000000,2680.2,2680.5,2680.2,2680.3,20
2024-10-02 01:31:00.000000000,2680.3,2680.4,2680.1,2680.3,15
