timestamp,open,high,low,close,volume
2026-03-13 00:00:00,5101.0,5106.3,5100.3,5106.3,441.0
2026-03-13 00:05:00,5106.1,5107.2,5101.4,5105.3,1280.0
2026-03-13 00:10:00,5105.3,5107.5,5104.7,5106.7,710.0
2026-03-13 00:15:00,5107.0,5111.5,5105.5,5110.5,1363.0
2026-03-13 00:20:00,5110.2,5111.4,5108.1,5108.1,992.0
2026-03-13 00:25:00,5108.0,5111.7,5107.9,5109.0,902.0
2026-03-13 00:30:00,5108.9,5111.8,5107.3,5111.6,686.0
2026-03-13 00:35:00,5111.6,5113.7,5109.7,5112.9,962.0
2026-03-13 00:40:00,5112.7,5112.8,5110.5,5111.3,520.0
2026-03-13 00:45:00,5111.5,5113.1,5110.1,5111.4,487.0
2026-03-13 00:50:00,5111.3,5113.0,5110.4,5111.6,440.0
2026-03-13 00:55:00,5111.6,5116.3,5110.7,5115.9,1111.0
2026-03-13 01:00:00,5116.0,5123.3,5114.7,5122.1,1711.0
2026-03-13 01:05:00,5122.3,5123.9,5119.6,5123.2,1824.0
2026-03-13 01:10:00,5123.0,5123.7,5119.5,5120.5,953.0
2026-03-13 01:15:00,5120.7,5124.2,5118.6,5121.3,1086.0
2026-03-13 01:20:00,5121.2,5122.3,5117.0,5120.3,1266.0
2026-03-13 01:25:00,5120.1,5122.0,5117.5,5120.4,1261.0
2026-03-13 01:30:00,5120.2,5123.8,5120.0,5122.4,685.0
2026-03-13 01:35:00,5122.6,5125.2,5121.7,5124.2,877.0
2026-03-13 01:40:00,5124.0,5124.1,5118.0,5120.1,1213.0
2026-03-13 01:45:00,5120.1,5121.8,5113.6,5114.3,1968.0
2026-03-13 01:50:00,5114.3,5117.7,5111.5,5117.1,1899.0
2026-03-13 01:55:00,5117.3,5119.6,5113.1,5118.0,1578.0
2026-03-13 02:00:00,5117.9,5132.4,5117.9,5131.8,2726.0
2026-03-13 02:05:00,5131.8,5132.2,5127.1,5128.7,1324.0
2026-03-13 02:10:00,5128.7,5130.5,5126.6,5128.5,743.0
2026-03-13 02:15:00,5128.1,5130.6,5124.9,5125.4,843.0
2026-03-13 02:20:00,5125.5,5127.4,5123.5,5126.9,902.0
2026-03-13 02:25:00,5126.4,5126.9,5118.7,5124.8,1579.0
2026-03-13 02:30:00,5124.8,5126.6,5123.9,5124.6,488.0
2026-03-13 02:35:00,5124.5,5125.3,5122.6,5124.2,454.0
2026-03-13 02:40:00,5124.3,5124.9,5120.2,5121.6,504.0
2026-03-13 02:45:00,5121.9,5124.9,5119.6,5121.3,975.0
2026-03-13 02:50:00,5121.2,5121.5,5116.2,5116.2,1093.0
2026-03-13 02:55:00,5117.0,5119.8,5115.6,5119.1,645.0
2026-03-13 03:00:00,5119.2,5119.2,5113.0,5113.5,1102.0
2026-03-13 03:05:00,5113.9,5117.9,5111.9,5117.9,1150.0
2026-03-13 03:10:00,5117.6,5119.7,5116.4,5118.9,784.0
2026-03-13 03:15:00,5119.0,5119.2,5113.1,5115.4,766.0
2026-03-13 03:20:00,5115.6,5116.0,5112.9,5115.1,647.0
2026-03-13 03:25:00,5114.9,5117.7,5114.3,5116.3,588.0
2026-03-13 03:30:00,5116.2,5117.1,5111.3,5112.9,638.0
2026-03-13 03:35:00,5112.5,5115.4,5111.8,5113.6,613.0
2026-03-13 03:40:00,5113.4,5113.8,5109.0,5113.0,962.0
2026-03-13 03:45:00,5112.9,5117.3,5112.8,5116.8,603.0
2026-03-13 03:50:00,5116.9,5119.9,5116.4,5118.3,755.0
2026-03-13 03:55:00,5118.4,5118.9,5116.8,5118.7,442.0
2026-03-13 04:00:00,5118.1,5119.8,5117.8,5119.2,405.0
2026-03-13 04:05:00,5119.2,5121.4,5118.7,5120.0,490.0
2026-03-13 04:10:00,5119.8,5119.8,5116.6,5119.4,418.0
2026-03-13 04:15:00,5119.1,5119.4,5115.9,5117.7,371.0
2026-03-13 04:20:00,5117.5,5117.7,5112.9,5113.3,430.0
2026-03-13 04:25:00,5113.0,5113.8,5106.6,5110.6,1010.0
2026-03-13 04:30:00,5110.3,5110.8,5107.4,5109.4,458.0
2026-03-13 04:35:00,5109.8,5110.1,5106.9,5107.2,404.0
2026-03-13 04:40:00,5107.0,5108.1,5105.4,5106.2,473.0
2026-03-13 04:45:00,5106.8,5108.8,5106.0,5106.2,312.0
2026-03-13 04:50:00,5106.3,5109.6,5106.1,5109.4,411.0
2026-03-13 04:55:00,5109.1,5109.1,5107.3,5107.5,256.0
2026-03-13 05:00:00,5107.9,5108.3,5106.0,5107.9,405.0
2026-03-13 05:05:00,5108.3,5109.6,5105.6,5106.5,471.0
2026-03-13 05:10:00,5106.5,5109.5,5106.0,5108.7,441.0
2026-03-13 05:15:00,5108.9,5113.3,5108.4,5112.5,723.0
2026-03-13 05:20:00,5112.8,5112.9,5110.1,5110.4,365.0
2026-03-13 05:25:00,5110.7,5113.2,5110.4,5111.7,350.0
2026-03-13 05:30:00,5111.8,5112.0,5106.7,5109.7,712.0
2026-03-13 05:35:00,5109.8,5114.8,5109.0,5110.2,974.0
2026-03-13 05:40:00,5110.6,5112.5,5108.3,5110.2,685.0
2026-03-13 05:45:00,5110.2,5112.2,5101.5,5101.5,1451.0
2026-03-13 05:50:00,5101.6,5107.9,5100.7,5105.9,944.0
2026-03-13 05:55:00,5105.8,5106.8,5100.4,5101.0,1023.0
2026-03-13 06:00:00,5101.0,5108.6,5100.7,5107.5,1198.0
2026-03-13 06:05:00,5107.9,5111.3,5104.8,5111.0,916.0
2026-03-13 06:10:00,5110.7,5111.3,5106.7,5107.6,723.0
2026-03-13 06:15:00,5107.9,5110.7,5104.9,5105.3,661.0
2026-03-13 06:20:00,5105.3,5105.4,5102.2,5103.4,827.0
2026-03-13 06:25:00,5103.7,5103.7,5096.3,5096.7,1625.0
